iter	Passed	Remaining
0	0	624
1	1	525
2	1	449
3	1	444
4	2	443
5	2	427
6	2	423
7	3	427
8	3	434
9	4	434
10	4	435
11	5	445
12	5	443
13	6	433
14	6	428
15	6	423
16	7	420
17	7	418
18	8	418
19	8	418
20	9	420
21	9	420
22	9	418
23	10	416
24	10	415
25	11	415
26	11	416
27	11	413
28	12	416
29	12	419
30	13	419
31	13	419
32	14	417
33	14	416
34	15	416
35	15	416
36	15	416
37	16	417
38	16	417
39	17	417
40	17	417
41	18	416
42	18	414
43	18	412
44	19	416
45	20	415
46	20	414
47	20	414
48	21	414
49	21	414
50	22	414
51	22	413
52	23	412
53	23	412
54	23	412
55	24	410
56	24	410
57	25	410
58	26	416
59	26	415
60	26	414
61	27	414
62	27	413
63	28	410
64	28	410
65	28	409
66	29	409
67	29	408
68	30	408
69	30	407
70	31	407
71	31	407
72	32	406
73	32	406
74	32	405
75	33	405
76	33	404
77	34	404
78	34	404
79	35	404
80	35	404
81	36	404
82	36	404
83	36	402
84	37	403
85	38	403
86	38	403
87	38	403
88	39	402
89	39	401
90	40	401
91	40	401
92	41	400
93	41	401
94	42	400
95	42	400
96	42	397
97	43	403
98	44	406
99	45	407
100	45	406
101	46	405
102	46	404
103	46	403
104	47	403
105	47	402
106	48	402
107	48	401
108	49	401
109	49	401
110	50	400
111	50	399
112	50	398
113	51	398
114	51	397
115	52	397
116	52	397
117	53	396
118	53	396
119	54	396
120	54	395
121	54	395
122	55	395
123	55	395
124	56	394
125	56	393
126	57	392
127	58	396
128	59	400
129	60	403
130	60	403
131	61	402
132	61	402
133	62	401
134	62	401
135	63	400
136	63	400
137	63	399
138	64	401
139	65	400
140	65	400
141	66	399
142	67	403
143	68	406
144	69	411
145	70	412
146	70	411
147	71	410
148	71	410
149	72	409
150	72	408
151	73	408
152	73	407
153	74	407
154	74	406
155	75	406
156	75	405
157	75	404
158	76	404
159	76	403
160	77	402
161	77	402
162	78	401
163	78	400
164	79	400
165	80	404
166	80	403
167	81	403
168	81	401
169	82	401
170	82	400
171	83	399
172	83	399
173	83	398
174	84	397
175	84	396
176	85	395
177	85	394
178	85	394
179	86	393
180	86	392
181	87	392
182	87	392
183	88	392
184	89	392
185	89	391
186	89	391
187	90	390
188	90	389
189	91	389
190	91	388
191	92	387
192	92	387
193	93	386
194	93	385
195	93	384
196	94	383
197	94	383
198	95	382
199	95	382
200	96	382
201	96	382
202	97	382
203	98	382
204	98	382
205	98	381
206	99	380
207	99	380
208	100	379
209	100	379
210	101	378
211	101	377
212	102	377
213	102	376
214	102	375
215	103	375
216	103	374
217	104	373
218	104	373
219	105	372
220	105	372
221	106	371
222	106	370
223	106	370
224	107	370
225	108	369
226	108	369
227	108	368
228	109	368
229	109	367
230	110	366
231	110	366
232	111	365
233	111	365
234	111	364
235	112	363
236	112	362
237	113	362
238	113	361
239	113	360
240	114	360
241	114	359
242	115	359
243	115	359
244	116	358
245	116	358
246	117	358
247	118	357
248	118	357
249	118	356
250	119	355
251	119	355
252	120	354
253	120	353
254	120	353
255	121	352
256	121	352
257	122	351
258	122	351
259	123	351
260	123	350
261	124	350
262	124	349
263	125	349
264	125	348
265	126	347
266	126	347
267	126	346
268	127	345
269	127	345
270	128	344
271	128	344
272	129	343
273	129	342
274	129	342
275	130	341
276	130	340
277	131	340
278	131	340
279	131	339
280	132	339
281	133	339
282	133	339
283	134	338
284	134	337
285	135	337
286	135	336
287	135	335
288	136	335
289	136	334
290	136	333
291	137	333
292	137	332
293	138	332
294	139	333
295	140	333
296	140	333
297	141	333
298	141	332
299	142	332
300	142	331
301	143	331
302	143	330
303	144	329
304	144	329
305	144	328
306	145	327
307	145	327
308	146	326
309	146	326
310	147	325
311	147	325
312	147	324
313	148	324
314	148	323
315	149	323
316	149	322
317	150	321
318	150	321
319	150	320
320	151	320
321	151	319
322	152	319
323	152	319
324	153	318
325	153	317
326	154	317
327	154	316
328	154	316
329	155	315
330	155	314
331	156	314
332	156	313
333	157	313
334	157	312
335	158	312
336	158	311
337	159	311
338	159	311
339	160	311
340	160	310
341	161	310
342	161	309
343	162	309
344	162	308
345	162	307
346	163	307
347	163	306
348	164	306
349	164	305
350	164	304
351	165	304
352	165	303
353	166	303
354	166	302
355	167	302
356	167	301
357	168	301
358	168	300
359	168	300
360	169	299
361	169	299
362	170	298
363	170	297
364	170	297
365	171	296
366	171	296
367	172	295
368	172	294
369	172	294
370	173	293
371	173	293
372	174	293
373	174	292
374	175	292
375	176	292
376	176	291
377	176	291
378	177	290
379	177	289
380	178	289
381	178	288
382	178	288
383	179	287
384	179	287
385	180	286
386	180	286
387	181	285
388	181	285
389	182	284
390	182	284
391	182	283
392	183	283
393	183	282
394	184	282
395	184	281
396	184	280
397	185	280
398	185	280
399	186	279
400	186	278
401	187	278
402	187	277
403	188	277
404	188	277
405	189	276
406	189	276
407	190	275
408	190	275
409	191	274
410	191	274
411	191	273
412	192	273
413	192	272
414	193	272
415	193	271
416	194	271
417	194	270
418	194	270
419	195	269
420	195	269
421	196	268
422	196	268
423	197	267
424	197	267
425	198	266
426	198	266
427	199	266
428	199	265
429	200	265
430	200	264
431	201	264
432	201	264
433	202	263
434	202	263
435	203	262
436	203	262
437	204	261
438	204	261
439	204	260
440	205	260
441	205	259
442	206	259
443	206	258
444	207	258
445	207	257
446	207	257
447	208	256
448	208	256
449	209	255
450	209	255
451	210	254
452	210	254
453	211	253
454	211	253
455	211	252
456	212	252
457	212	251
458	213	251
459	213	250
460	214	250
461	214	249
462	214	249
463	215	248
464	215	248
465	216	247
466	216	247
467	217	246
468	217	246
469	218	246
470	218	245
471	218	244
472	219	244
473	219	243
474	220	243
475	220	242
476	220	242
477	221	241
478	221	241
479	222	240
480	222	240
481	223	239
482	223	239
483	224	238
484	224	238
485	225	238
486	225	237
487	225	237
488	226	236
489	226	236
490	227	235
491	227	235
492	228	234
493	228	234
494	229	233
495	229	233
496	230	232
497	230	232
498	230	231
499	231	231
500	231	231
501	232	230
502	232	230
503	233	229
504	233	229
505	234	228
506	234	228
507	234	227
508	235	227
509	235	226
510	236	226
511	236	225
512	237	225
513	237	224
514	237	224
515	238	223
516	238	223
517	239	222
518	239	222
519	240	221
520	240	221
521	240	220
522	241	220
523	241	219
524	242	219
525	243	219
526	243	218
527	244	218
528	244	217
529	244	217
530	245	216
531	245	216
532	246	215
533	246	215
534	247	214
535	247	214
536	248	213
537	248	213
538	248	212
539	249	212
540	249	211
541	250	211
542	250	210
543	251	210
544	251	210
545	252	209
546	252	209
547	252	208
548	253	208
549	254	208
550	254	207
551	255	207
552	255	206
553	255	206
554	256	205
555	257	205
556	257	204
557	258	204
558	258	203
559	258	203
560	259	202
561	259	202
562	260	201
563	260	201
564	260	200
565	261	200
566	261	199
567	262	199
568	262	198
569	262	198
570	263	197
571	263	197
572	264	196
573	264	196
574	265	196
575	265	195
576	266	195
577	266	194
578	267	194
579	267	193
580	267	193
581	268	192
582	268	192
583	269	191
584	269	191
585	270	190
586	270	190
587	270	189
588	271	189
589	271	188
590	272	188
591	272	187
592	272	187
593	273	186
594	273	186
595	274	185
596	274	185
597	275	184
598	275	184
599	275	183
600	276	183
601	276	182
602	277	182
603	277	182
604	278	181
605	278	181
606	278	180
607	279	180
608	279	179
609	280	179
610	280	178
611	281	178
612	281	177
613	281	177
614	282	176
615	282	176
616	283	175
617	283	175
618	283	174
619	284	174
620	284	173
621	285	173
622	285	172
623	285	172
624	286	171
625	286	171
626	287	170
627	287	170
628	288	169
629	288	169
630	288	168
631	289	168
632	289	168
633	290	167
634	290	167
635	291	166
636	291	166
637	291	165
638	292	165
639	292	164
640	293	164
641	293	163
642	294	163
643	294	162
644	294	162
645	295	161
646	295	161
647	296	160
648	296	160
649	297	159
650	297	159
651	297	159
652	298	158
653	299	158
654	299	157
655	300	157
656	300	156
657	300	156
658	301	155
659	301	155
660	302	155
661	302	154
662	303	154
663	303	153
664	304	153
665	304	152
666	305	152
667	305	151
668	305	151
669	306	150
670	306	150
671	307	149
672	307	149
673	308	148
674	308	148
675	308	148
676	309	147
677	309	147
678	310	146
679	310	146
680	310	145
681	311	145
682	311	144
683	312	144
684	312	143
685	313	143
686	313	142
687	313	142
688	314	141
689	314	141
690	315	140
691	315	140
692	315	139
693	316	139
694	316	139
695	317	138
696	317	138
697	318	137
698	318	137
699	318	136
700	319	136
701	319	135
702	320	135
703	320	134
704	321	134
705	321	133
706	322	133
707	322	133
708	323	132
709	323	132
710	324	131
711	324	131
712	325	130
713	325	130
714	326	130
715	327	129
716	327	129
717	328	128
718	328	128
719	328	127
720	329	127
721	329	126
722	330	126
723	330	126
724	331	125
725	331	125
726	332	124
727	332	124
728	333	123
729	333	123
730	333	122
731	334	122
732	334	121
733	335	121
734	335	121
735	336	120
736	336	120
737	337	119
738	337	119
739	337	118
740	338	118
741	338	117
742	339	117
743	339	116
744	340	116
745	340	115
746	340	115
747	341	114
748	341	114
749	342	114
750	342	113
751	342	113
752	343	112
753	343	112
754	344	111
755	344	111
756	344	110
757	345	110
758	345	109
759	346	109
760	346	108
761	347	108
762	347	107
763	348	107
764	348	107
765	348	106
766	349	106
767	349	105
768	350	105
769	350	104
770	351	104
771	351	103
772	352	103
773	352	102
774	353	102
775	353	102
776	354	101
777	354	101
778	354	100
779	355	100
780	355	99
781	356	99
782	356	98
783	357	98
784	357	97
785	357	97
786	358	96
787	358	96
788	359	96
789	359	95
790	360	95
791	360	94
792	360	94
793	361	93
794	361	93
795	362	92
796	362	92
797	363	91
798	363	91
799	363	90
800	364	90
801	364	90
802	365	89
803	365	89
804	365	88
805	366	88
806	366	87
807	367	87
808	367	86
809	368	86
810	368	85
811	368	85
812	369	84
813	369	84
814	369	83
815	370	83
816	370	83
817	371	82
818	371	82
819	372	81
820	372	81
821	372	80
822	373	80
823	373	79
824	374	79
825	374	78
826	375	78
827	375	77
828	375	77
829	376	77
830	376	76
831	377	76
832	377	75
833	378	75
834	378	74
835	379	74
836	379	73
837	379	73
838	380	73
839	380	72
840	381	72
841	381	71
842	382	71
843	382	70
844	383	70
845	383	69
846	384	69
847	384	69
848	385	68
849	386	68
850	386	67
851	387	67
852	387	66
853	387	66
854	388	65
855	388	65
856	389	64
857	389	64
858	389	64
859	390	63
860	390	63
861	391	62
862	391	62
863	392	61
864	392	61
865	393	60
866	393	60
867	394	59
868	394	59
869	395	59
870	395	58
871	396	58
872	396	57
873	396	57
874	397	56
875	397	56
876	398	55
877	398	55
878	399	54
879	399	54
880	399	54
881	400	53
882	400	53
883	400	52
884	401	52
885	401	51
886	402	51
887	402	50
888	403	50
889	403	49
890	404	49
891	404	48
892	404	48
893	405	48
894	405	47
895	406	47
896	406	46
897	407	46
898	407	45
899	408	45
900	408	44
901	408	44
902	409	43
903	410	43
904	410	43
905	410	42
906	411	42
907	411	41
908	412	41
909	412	40
910	413	40
911	413	39
912	414	39
913	414	39
914	415	38
915	415	38
916	416	37
917	416	37
918	417	36
919	417	36
920	418	35
921	418	35
922	419	34
923	419	34
924	420	34
925	420	33
926	421	33
927	421	32
928	421	32
929	422	31
930	422	31
931	422	30
932	423	30
933	423	29
934	424	29
935	424	29
936	425	28
937	425	28
938	426	27
939	426	27
940	426	26
941	427	26
942	427	25
943	428	25
944	429	24
945	429	24
946	430	24
947	430	23
948	430	23
949	431	22
950	431	22
951	432	21
952	432	21
953	432	20
954	433	20
955	433	19
956	434	19
957	434	19
958	434	18
959	435	18
960	435	17
961	436	17
962	436	16
963	437	16
964	437	15
965	437	15
966	438	14
967	438	14
968	439	14
969	439	13
970	440	13
971	440	12
972	441	12
973	441	11
974	442	11
975	442	10
976	442	10
977	443	9
978	444	9
979	444	9
980	444	8
981	445	8
